text,label
"She canceled our plans last minute, so she must not care about me at all.",Black-or-White Thinking
My kid is acting out. I must not be disciplining them properly.,Personalization
"I have a minor pain in my back—it’s definitely a slipped disc, and I’ll be in a wheelchair.",Catastrophizing
"The first time I tried a new makeup look, I hated it, so now I stick to the same routine, even though I want to experiment.",Anchoring Bias
"I knew that job was a bad fit. The second I walked in, I could tell the culture was toxic.",Confirmation Bias
They’ll hire me for sure—I aced that interview even though I barely prepared.,Optimism Bias
"I don’t feel like my work is valued, so I should find a new job.",Emotional Reasoning
I either have a perfect home or I’m just messy and irresponsible.,Black-or-White Thinking
"I didn’t get invited to that party, which means no one actually likes me.",Black-or-White Thinking
I either have a perfect body or I’m disgusting and should just hide.,Black-or-White Thinking
"I didn’t get a perfect score on that test, so I’m not smart enough for this program.",Overgeneralization
"I’ve already put so much effort into this project, I can’t just quit now, even if it’s not working out.",Sunk Cost Fallacy
My friend posted a photo without me. They must not want me around anymore.,Personalization
"I tried making pasta from scratch once, and it was a disaster. I guess I just can’t cook at all.",Overgeneralization
I got the apartment because I’m the most responsible tenant. The landlord evicted me because they’re greedy.,Self-Serving Bias
"My first boss was a pushover, so now I assume every new boss will be the same, even if they’re actually assertive.",Anchoring Bias
"I had one bad workout, so I’ll never get in shape.",Overgeneralization
The doctor’s office said they’d call with my test results by Friday. It’s Monday now—something must be seriously wrong.,Jumping to Conclusions
I didn’t get a reply to my text. They’re ignoring me on purpose.,Jumping to Conclusions
I either get promoted in the next six months or I’m stuck in this dead-end job forever.,Black-or-White Thinking
I left my phone at home; I’ll miss an important call and lose my job because of it.,Catastrophizing
I don’t need to read the contract; I trust them to be fair.,Optimism Bias
I got the part in the commercial because I’m photogenic. They didn’t cast me in the movie because the director is clueless.,Self-Serving Bias
I can’t just watch TV. I should be learning a new skill or side hustle instead.,Should Statements
"The first therapist I tried charged $150 a session, so when I found one for $100, I thought I was getting a steal—until I realized I still can’t afford weekly visits.",Anchoring Bias
"I should be able to save money, but I always find something to spend it on.",Should Statements
"My coworker says I’m too competitive, but if I don’t push myself, I’ll get left behind. That’s just how the world works.",Confirmation Bias
My phone died during an important call. It’s my fault for not charging it sooner.,Personalization
"I don’t think the new diet is sustainable, but since my whole friend group is trying it, I’m giving it a shot to avoid standing out.",Bandwagon Effect
"I’ve been using this phone for years, so I should keep it, even if it’s broken.",Sunk Cost Fallacy
"I woke up feeling tired, so I know I’m going to have a bad day.",Emotional Reasoning
